"ind","lon","lat","biome","ecoregion","temp","prec","evap","swb"
13387,-0.0162563959169972,42.7650907835041,4,"Pyrenees conifer and mixed forests",5.45000000000005,1429.5,84.94,87
24224,-0.0373980096787818,22.2154972950296,13,"Sahara desert",27.2500000000001,22.4,212.97,-2533
30076,-0.046766638618692,14.5213707607629,7,"Sahelian Acacia savanna",29.45,386.8,193.59,-1947
17847,-0.0505737258119154,7.23983310087658,7,"Guinean forest-savanna mosaic",27.85,1222,142.49,-600
17879,-0.057837014470266,19.4132975359684,13,"South Saharan steppe and woodlands",28.45,69.1,222.89,-2605
10613,-0.0585204783683366,32.630527914315,12,"Mediterranean dry woodlands and steppe",19.15,156.2,155.65,-1712
33331,-0.0605210569061398,44.4001720161945,4,"Atlantic mixed forests",13.2500000000001,930.2,85.16,-195
58451,-0.0688417247805261,33.2498199987128,12,"Mediterranean dry woodlands and steppe",15.95,227.8,143.56,-1497
11599,-0.074645995897896,45.2217399583354,4,"Atlantic mixed forests",13.05,866.4,79.43,-201
9904,-0.0766305061177661,41.3806921476324,12,"Iberian sclerophyllous and semi-deciduous forests",15.85,383.6,112.06,-972
27736,-0.0878310163605533,53.0213939555142,4,"Celtic broadleaf forests",10.15,645.9,68.38,-200
36966,-0.0998293263959624,30.4168526144094,13,"North Saharan steppe and woodlands",22.05,43.1,182.22,-2143
40761,-0.101332383136508,27.2509733097857,13,"Sahara desert",26.2500000000001,21.1,211.84,-2519
3328,-0.105021727949747,38.5578414733486,12,"Iberian sclerophyllous and semi-deciduous forests",18.35,553.9,106.46,-738
37724,-0.121342418303158,44.8493090381931,4,"Atlantic mixed forests",13.7500000000001,769.7,83.69,-295
56630,-0.121408920350234,29.3730063496527,13,"Sahara desert",23.7500000000001,27.9,193.12,-2289
4791,-0.124749529470108,13.2433417740285,7,"West Sudanian savanna",29.15,546.6,194.46,-1801
54650,-0.12556472742034,18.9798263428827,13,"South Saharan steppe and woodlands",28.45,67.2,223.35,-2614
58257,-0.127090726212003,31.5112362428969,13,"North Saharan steppe and woodlands",20.95,69.3,170.99,-1983
20848,-0.140307090519116,16.4998292914504,7,"Sahelian Acacia savanna",30.35,155.3,201.29,-2263
56265,-0.142444136894085,28.1962547628014,13,"Sahara desert",25.55,20.3,202.93,-2413
26563,-0.144092656108683,9.946640303546,7,"West Sudanian savanna",28.2500000000001,1151.9,156.85,-826
30940,-0.158072917393298,23.454745136524,13,"Sahara desert",26.7500000000001,17.3,209.52,-2496
23101,-0.162818800529578,33.8561967173675,12,"Mediterranean dry woodlands and steppe",16.55,226,134.56,-1393
15990,-0.166107609065875,42.1764913003644,12,"Iberian sclerophyllous and semi-deciduous forests",13.15,590.5,95.71,-579
2715,-0.175462127896509,5.88849797403918,1,"Eastern Guinean forests",25.95,1212.4,136.1,-490
12737,-0.181322897169196,40.1869607419789,12,"Northeastern Spain and Southern France Mediterranean forests",14.45,646.6,104.71,-643
57484,-0.202105269037474,9.06986273592973,7,"West Sudanian savanna",28.05,1237.3,147.02,-673
39225,-0.209292939207529,24.3280455439025,13,"Sahara desert",26.65,17.9,210.13,-2504
58267,-0.21194033379922,22.9842141490287,13,"Sahara desert",26.7500000000001,19.2,211.42,-2517
13127,-0.213978735333029,18.1750705833358,13,"South Saharan steppe and woodlands",29.35,98,224.38,-2598
1931,-0.221134467986758,51.4680595862168,4,"English Lowlands beech forests",10.65,659.8,58.53,-108
43503,-0.238751181652617,43.1420677368752,4,"Atlantic mixed forests",13.15,1306.1,79.87,-4
11044,-0.240118053098115,18.7069702109007,13,"South Saharan steppe and woodlands",28.65,75.2,225.14,-2628
51224,-0.257315606088923,28.5081466031311,13,"Sahara desert",25.45,20.4,193.46,-2300
41252,-0.264311186312852,17.6402180723684,7,"Sahelian Acacia savanna",29.7500000000001,113.5,226.62,-2609
58865,-0.26554536980089,11.7377554011446,7,"West Sudanian savanna",28.7500000000001,811,177.11,-1350
36988,-0.267455761502475,42.0043169732706,12,"Iberian sclerophyllous and semi-deciduous forests",14.35,484.4,102.41,-758
2182,-0.269948462123807,17.978204397914,7,"Sahelian Acacia savanna",29.45,103.5,224.1,-2589
57690,-0.272486957410905,24.8918555109259,13,"Sahara desert",26.35,16.1,210.18,-2505
57495,-0.283259924367684,53.4147533133519,4,"Celtic broadleaf forests",9.45000000000005,713.6,69.95,-156
52608,-0.285264769659932,32.8654399680445,12,"Mediterranean woodlands and forests",17.95,176.4,142.17,-1532
30884,-0.29027233712506,10.3351968471353,7,"West Sudanian savanna",28.65,1060.6,158.72,-945
32334,-0.293648871329424,12.6259627636483,7,"West Sudanian savanna",28.65,643.1,194.51,-1713
4158,-0.299015239666943,35.492518898097,12,"Mediterranean woodlands and forests",17.55,320.6,130.24,-1247
32963,-0.30263240653818,14.6676106395499,7,"Sahelian Acacia savanna",29.35,356.6,204.19,-2105
20508,-0.311506642165426,35.0123001388911,12,"Mediterranean woodlands and forests",17.05,319.7,118.12,-1104
12350,-0.32316597147593,33.2199278566915,12,"Mediterranean dry woodlands and steppe",16.45,202.3,141.74,-1501
44025,-0.325149232025467,29.5147796051411,13,"Sahara desert",23.2500000000001,30,193.93,-2297
8711,-0.332258973699737,10.1244974632063,7,"West Sudanian savanna",28.85,1022.8,159.37,-965
17768,-0.333735309183993,23.2029318793151,13,"Sahara desert",26.7500000000001,18.7,208.85,-2487
907,-0.334437318770284,25.1858706610393,13,"Sahara desert",26.15,16.1,209.55,-2497
27604,-0.347184754492758,7.67962173686364,7,"Guinean forest-savanna mosaic",28.05,1287.5,141.62,-594
54459,-0.349039997761821,9.340572284875,7,"West Sudanian savanna",27.7500000000001,1288.4,151.19,-717
16840,-0.352777225392998,33.8550305839974,12,"Mediterranean dry woodlands and steppe",16.45,221.5,132.47,-1372
21023,-0.358689717891679,41.4562736598064,12,"Iberian sclerophyllous and semi-deciduous forests",16.05,344.3,118.9,-1092
40472,-0.366723519400495,7.99850048639767,7,"Guinean forest-savanna mosaic",28.2500000000001,1246.9,145.02,-656
49609,-0.388773572069425,13.3615489726204,7,"West Sudanian savanna",29.05,561,196.81,-1818
49993,-0.388773572069425,13.3615489726204,7,"West Sudanian savanna",29.05,561,196.81,-1818
44267,-0.399645585328614,10.0384569110351,7,"West Sudanian savanna",28.65,1076.9,161.67,-956
43926,-0.399645585328614,10.0384569110351,7,"West Sudanian savanna",28.65,1076.9,161.67,-956
1016,-0.404200820978758,21.3315931936449,13,"Sahara desert",27.85,28,211.01,-2501
18703,-0.422528978508836,20.724682815583,13,"South Saharan steppe and woodlands",28.45,38.9,214.3,-2529
25675,-0.455026284800766,12.0247861148948,7,"West Sudanian savanna",28.65,767.3,177.45,-1407
45102,-0.467117921952223,39.067158359425,12,"Northeastern Spain and Southern France Mediterranean forests",18.15,603.8,96.29,-611
49125,-0.467600905425485,21.0774527941506,13,"Sahara desert",27.7500000000001,31.6,223.74,-2649
6319,-0.472950055526638,29.7686120397597,13,"Sahara desert",22.65,32.9,193.95,-2294
38899,-0.475101827265803,39.4965552331463,12,"Northeastern Spain and Southern France Mediterranean forests",17.95,502.6,93.9,-654
38689,-0.476434376841155,46.9137855203256,4,"Atlantic mixed forests",11.65,755.8,81.85,-285
27809,-0.482867229379451,7.92844589917962,7,"Guinean forest-savanna mosaic",28.05,1226,144.04,-638
45898,-0.494175794809649,32.1581879441802,13,"North Saharan steppe and woodlands",20.35,107,151.82,-1716
46255,-0.494175794809649,32.1581879441802,13,"North Saharan steppe and woodlands",20.35,107,151.82,-1716
6514,-0.495313078826598,23.3048153591091,13,"Sahara desert",26.65,18.5,209.37,-2494
22767,-0.498076992281256,21.3279639873769,13,"Sahara desert",27.85,27.9,209.05,-2477
41404,-0.507357055933198,41.818246093012,12,"Iberian sclerophyllous and semi-deciduous forests",14.2500000000001,480.7,102.45,-763
57828,-0.513600148883995,25.4037063485845,13,"Sahara desert",25.95,16.3,207.73,-2475
48831,-0.514494306593519,18.4831018550777,13,"South Saharan steppe and woodlands",28.85,84.1,229.81,-2675
35498,-0.52290032960633,19.4927035114328,13,"South Saharan steppe and woodlands",28.2500000000001,80.8,237.29,-2765
56117,-0.524107573865564,31.2117601597376,13,"North Saharan steppe and woodlands",21.35,61,174.23,-2029
52247,-0.53275397026394,41.9825533069613,12,"Iberian sclerophyllous and semi-deciduous forests",14.95,445.2,109.84,-885
384,-0.539637250972504,13.7571713811965,7,"West Sudanian savanna",28.85,511.5,189.21,-1776
57167,-0.542214541460453,33.8269280644377,12,"Mediterranean dry woodlands and steppe",16.35,226.2,132.87,-1373
22345,-0.54787173707183,53.2787934235574,4,"Celtic broadleaf forests",9.75000000000006,678.3,66.81,-154
48775,-0.551227146093595,23.8321427206544,13,"Sahara desert",26.65,18.3,209.72,-2498
17073,-0.552416176504892,33.0093661803761,12,"Mediterranean dry woodlands and steppe",16.15,185.4,140.1,-1499
4861,-0.553062909348711,13.6814168967455,7,"West Sudanian savanna",28.85,486.6,185.52,-1756
