ind,lon,lat,biome,ecoregion,image_id_1
13387,-0.0162563959169972,42.7650907835041,4,Pyrenees conifer and mixed forests,20230811T105629_20230811T105939_T30TYN
24224,-0.0373980096787818,22.2154972950296,13,Sahara desert,20220623T103031_20220623T104228_T30QYK
30076,-0.046766638618692,14.5213707607629,7,Sahelian Acacia savanna,20210615T102021_20210615T102602_T30PZB
17847,-0.0505737258119154,7.23983310087658,7,Guinean forest-savanna mosaic,20200804T101559_20200804T102700_T30NZP
17879,-0.057837014470266,19.4132975359684,13,South Saharan steppe and woodlands,20220623T103031_20220623T104228_T30QZG
10613,-0.0585204783683366,32.630527914315,12,Mediterranean dry woodlands and steppe,20220711T103629_20220711T104931_T30SYB
33331,-0.0605210569061398,44.4001720161945,4,Atlantic mixed forests,20170618T105621_20170618T110415_T30TYQ
58451,-0.0688417247805261,33.2498199987128,12,Mediterranean dry woodlands and steppe,20220711T103629_20220711T104931_T30SYB
11599,-0.074645995897896,45.2217399583354,4,Atlantic mixed forests,20170618T105621_20170618T110415_T30TYR
9904,-0.0766305061177661,41.3806921476324,12,Iberian sclerophyllous and semi-deciduous forests,20170804T105031_20170804T105328_T31TBF
27736,-0.0878310163605533,53.0213939555142,4,Celtic broadleaf forests,20220710T110629_20220710T110939_T30UXD
53231,-0.0902910805056365,6.52659798405314,7,Guinean forest-savanna mosaic,20200804T101559_20200804T103905_T30NZN
36966,-0.0998293263959624,30.4168526144094,13,North Saharan steppe and woodlands,20190622T104031_20190622T105144_T30RYU
40761,-0.101332383136508,27.2509733097857,13,Sahara desert,20220626T103641_20220626T104443_T30RYR
3328,-0.105021727949747,38.5578414733486,12,Iberian sclerophyllous and semi-deciduous forests,20220803T104629_20220803T105906_T31SBC
37724,-0.121342418303158,44.8493090381931,4,Atlantic mixed forests,20170618T105621_20170618T110415_T30TYQ
56630,-0.121408920350234,29.3730063496527,13,Sahara desert,20220616T103631_20220616T104622_T30RYT
4791,-0.124749529470108,13.2433417740285,7,West Sudanian savanna,20220620T102041_20220620T103048_T30PZV
54650,-0.12556472742034,18.9798263428827,13,South Saharan steppe and woodlands,20220623T103031_20220623T104228_T30QZG
58257,-0.127090726212003,31.5112362428969,13,North Saharan steppe and woodlands,20220616T103631_20220616T104622_T30RYV
20848,-0.140307090519116,16.4998292914504,7,Sahelian Acacia savanna,20230630T101609_20230630T102613_T30QZD
56265,-0.142444136894085,28.1962547628014,13,Sahara desert,20220616T103631_20220616T104622_T30RYS
26563,-0.144092656108683,9.946640303546,7,West Sudanian savanna,20210615T102021_20210615T102602_T30PZS
30940,-0.158072917393298,23.454745136524,13,Sahara desert,20190619T103031_20190619T103536_T30QYM
23101,-0.162818800529578,33.8561967173675,12,Mediterranean dry woodlands and steppe,20230805T103629_20230805T104919_T30SYC
15990,-0.166107609065875,42.1764913003644,12,Iberian sclerophyllous and semi-deciduous forests,20170705T105031_20170705T105605_T30TYM
2715,-0.175462127896509,5.88849797403918,1,Eastern Guinean forests,20200804T101559_20200804T103905_T30NZM
12737,-0.181322897169196,40.1869607419789,12,Northeastern Spain and Southern France Mediterranean forests,20170814T105031_20170814T105517_T31TBE
57484,-0.202105269037474,9.06986273592973,7,West Sudanian savanna,20210615T102021_20210615T102602_T30PYR
56716,-0.207179637557658,6.65094003290717,7,Guinean forest-savanna mosaic,20200804T101559_20200804T103905_T30NZN
39225,-0.209292939207529,24.3280455439025,13,Sahara desert,20190619T103031_20190619T103536_T30QYM
58267,-0.21194033379922,22.9842141490287,13,Sahara desert,20220623T103031_20220623T104228_T30QYL
13127,-0.213978735333029,18.1750705833358,13,South Saharan steppe and woodlands,20220623T103031_20220623T104228_T30QYF
1931,-0.221134467986758,51.4680595862168,4,English Lowlands beech forests,20230707T105621_20230707T105914_T30UXC
43503,-0.238751181652617,43.1420677368752,4,Atlantic mixed forests,20230811T105629_20230811T105939_T30TYN
